M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
153000.0,7.125127151659704e-09,0.0022740512432140774,0.0020063863464335626,0.0001338324483902574,1.651476115927691e-05,3.054678822758957
153200.0,7.12471592073869e-09,0.0022740423613658175,0.0020063648792784886,0.00013383874104366442,1.6513631312041607e-05,3.054822450371936
153400.0,7.124337681003381e-09,0.0022740323798645713,0.0020063435343249986,0.00013384442276978634,1.6512578956932953e-05,3.0549521337833214
153600.0,7.123982285628944e-09,0.0022740216722207263,0.002006322305021344,0.00013384968359969108,1.651158051967018e-05,3.0550722103857706
153800.0,7.123647280598039e-09,0.002274010137668569,0.0020063010212991663,0.00013385455818470146,1.6510628911142093e-05,3.055183471083606
154000.0,7.123331925395058e-09,0.0022739977872226463,0.002006279668491838,0.00013385905936540415,1.6509722292926046e-05,3.0552862089587274
154200.0,7.123013886269678e-09,0.002273985803648905,0.0020062585496582277,0.00013386362699533859,1.6508811395105332e-05,3.0553904635143208
154400.0,7.122689195948736e-09,0.0022739735346074415,0.0020062369576711184,0.00013386828846816156,1.65078812044341e-05,3.0554968600010213
154600.0,7.122364818449756e-09,0.0022739609938798415,0.0020062151356124757,0.0001338729291336829,1.6506949861957217e-05,3.0556027815683398
154800.0,7.122044522301566e-09,0.002273948015422571,0.0020061930619925945,0.00013387747671498814,1.65060259250309e-05,3.0557065785209843
155000.0,7.121729445408691e-09,0.002273934618224849,0.002006170791345845,0.00013388191343950196,1.6505112479461284e-05,3.0558078452061403
155200.0,7.12141299466008e-09,0.0022739211424926,0.00200614840514469,0.00013388636867395502,1.6504194915487698e-05,3.055909534374185
155400.0,7.121093747676066e-09,0.0022739074243427076,0.0020061257116080642,0.00013389085636732168,1.6503268359276168e-05,3.056011964405579
155600.0,7.120773205192997e-09,0.0022738935660663855,0.002006102850755149,0.0001338953576556182,1.6502337441138886e-05,3.0561147047364923
155800.0,7.12045170260578e-09,0.0022738795151452597,0.0020060797873737803,0.00013389986388573968,1.650140264898613e-05,3.0562175578628312
156000.0,7.120130859460623e-09,0.0022738651697159886,0.002006056485334714,0.00013390434219063738,1.650046743914492e-05,3.056319773605705
156200.0,7.119818709506317e-09,0.002273850094591993,0.002006032827319855,0.00013390863363606904,1.6499549464392286e-05,3.0564177243466264
156400.0,7.119515992795081e-09,0.002273834588039032,0.0020060091010951206,0.0001339127434719558,1.6498652806150055e-05,3.0565115299132084
