M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
153800.0,5.276929230396882e+16,2.446701510527114e+16,2.8302277198697676e+16,101939.55336815107,0.0002878848461754982,47108319458009.92,-8773827996310.891,55882147454320.81,-567794.8039948225,-47110615943028.42,11731044407303.29,-58841660350331.71,-447364.99567106337,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957557793983.1357,0.0,0.0,0.0
154000.0,5.276654198644264e+16,2.445733730173335e+16,2.830920468470929e+16,102005.49295524287,0.0002878698417154536,47109928817442.664,-8788665598621.273,55898594416063.94,-567004.4384508167,-47112857017926.0,11745538677554.164,-58858395695480.164,-446940.9662324311,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957526963217.705,0.0,0.0,0.0
154200.0,5.276376945770092e+16,2.444765592449739e+16,2.831611353320353e+16,102071.43197343148,0.0002878547160812925,47111283041726.09,-8803589954171.727,55914872995897.82,-566209.4652157684,-47113456247651.6,11760769714783.117,-58874225962434.72,-446483.2235915721,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957495883725.937,0.0,0.0,0.0
154400.0,5.276092609253005e+16,2.443794727809754e+16,2.8322978814432508e+16,102137.37967376756,0.00028783920399634506,47112320719551.22,-8818633785983.258,55930954505534.48,-565407.5473096203,-47114349156673.93,11775836024648.406,-58890185181322.336,-446033.8648238414,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957464008109.2754,0.0,0.0,0.0
154600.0,5.27580757389096e+16,2.4428241574926188e+16,2.8329834163983412e+16,102203.33117926538,0.00028782365378564973,47113260906437.23,-8833713725834.055,55946974632271.28,-564605.4386195188,-47115298794314.49,11790865567698.86,-58906164362013.35,-445587.19141594105,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957432052595.7676,0.0,0.0,0.0
154800.0,5.27552450701881e+16,2.441855129979709e+16,2.833669377039101e+16,102269.28537889884,0.0002878082109666563,47114108716432.21,-8848837053499.867,55962945769932.08,-563802.8115731782,-47116251157794.414,11805893921896.055,-58922145079690.47,-445141.71159736405,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957400316297.414,0.0,0.0,0.0
155000.0,5.2752444782165704e+16,2.440888148948002e+16,2.8343563292685684e+16,102335.24145934788,0.00028779293389070217,47114896708275.63,-8863991397366.734,55978888105642.37,-563000.6676707303,-47117169273228.99,11820941428742.414,-58938110701971.41,-444696.531954314,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957368919244.614,0.0,0.0,0.0
155200.0,5.2749627712171576e+16,2.4399210150564292e+16,2.8350417561607284e+16,102401.20066386125,0.00028777756526007407,47115569908189.555,-8879179926687.312,55994749834876.87,-562198.2933327385,-47117534528009.13,11836228195568.43,-58953762723577.56,-444241.1664659075,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957337333177.696,0.0,0.0,0.0
155400.0,5.274677904867597e+16,2.438953008053948e+16,2.835724896813649e+16,102467.16580055961,0.000287762024269918,47116136120119.734,-8894400217019.79,56010536337139.52,-561395.9055674351,-47117991871300.97,11851454042110.055,-58969445913411.02,-443789.4857940439,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957305391272.969,0.0,0.0,0.0
155600.0,5.2743917013612616e+16,2.4379849945359236e+16,2.836406706825338e+16,102533.13502672281,0.0002877464103306744,47116706063171.09,-8909604923499.406,56026310986670.5,-560597.1196449252,-47118447566669.85,11866665845531.117,-58985113412200.97,-443339.3700011785,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2957273298049.2456,0.0,0.0,0.0
