M1.L_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
59800.0,7.325428276614659e-09,0.0021508252558505377,0.0016622543743872896,0.00024428544073162406,9.063264455165575e-06,5.715034326636148
60000.0,7.332322008251241e-09,0.0021506639908952904,0.0016624847944149428,0.00024408959824017383,9.073051133019327e-06,5.710452610436034
60200.0,7.340462846399078e-09,0.0021504073855698152,0.0016627050054343947,0.00024385119006771028,9.084327787292667e-06,5.704875074233716
60400.0,7.3497485440433795e-09,0.0021501326286903835,0.001662969059341685,0.00024358178467434924,9.097263982561082e-06,5.698572361037924
60600.0,7.3597769627579e-09,0.002149860173686168,0.0016632718356555962,0.00024329416901528584,9.111335407951753e-06,5.691843620432252
60800.0,7.3704211705509105e-09,0.0021495907968335573,0.0016636072082840073,0.00024299179427477498,9.126352652798816e-06,5.684769592539506
61000.0,7.381622139956912e-09,0.0021493262017315395,0.001663973275397686,0.00024267646316692673,9.142233397566209e-06,5.677392451682434
61200.0,7.392294898967778e-09,0.0021491730368749786,0.0016643973350991964,0.00024238785088789112,9.157784991543644e-06,5.670640395248627
61400.0,7.4025169222947005e-09,0.002149053449266564,0.0016648232774074386,0.00024211508592956283,9.172795169142662e-06,5.664259085354427
61600.0,7.4126763282569175e-09,0.0021489484767820643,0.0016652562131181713,0.0002418461318319465,9.187772801240988e-06,5.657966930179058
61800.0,7.422886544117311e-09,0.002148858492931154,0.001665702189612152,0.00024157815165950093,9.202892023891097e-06,5.651697559889133
62000.0,7.433192148208099e-09,0.0021487831163308282,0.0016661631531665736,0.0002413099815821273,9.218219236413168e-06,5.64542374679173
62200.0,7.441722054597253e-09,0.0021489102313838097,0.001666690798266254,0.0002411097165587778,9.23172013866675e-06,5.640738565884349
62400.0,7.448672526217069e-09,0.0021490967290390926,0.0016671845420087792,0.00024095609351515673,9.243079822340394e-06,5.637144569594487
62600.0,7.454785568162406e-09,0.0021493061511293657,0.0016676536513337645,0.00024082624989780056,9.253268449490584e-06,5.634106890688766
62800.0,7.46030485348191e-09,0.002149536728705077,0.0016681091152506218,0.00024071380672722748,9.262648366549476e-06,5.631476293557409
63000.0,7.465344099980636e-09,0.002149785612118761,0.001668554513185176,0.0002406155494667925,9.271379919103162e-06,5.62917757442562
63200.0,7.469486412179962e-09,0.0021500981043174523,0.0016690042434258955,0.00024054693044577838,9.27902467841833e-06,5.6275722390467235
63400.0,7.472826235617073e-09,0.00215043535296512,0.0016694329784172036,0.00024050118727395812,9.285558266961349e-06,5.626502081953533
63600.0,7.475589311519906e-09,0.0021507859491257876,0.0016698432067526491,0.00024047137118656924,9.29127417609245e-06,5.625804537464583
63800.0,7.47786734982452e-09,0.0021511477543001045,0.0016702378856125045,0.0002404549343438,9.296302233912593e-06,5.625419999113191
64000.0,7.479713949954558e-09,0.0021515186278476574,0.0016706180526475745,0.00024045028760004146,9.300714359328807e-06,5.6253112889910994
64200.0,7.480775452457318e-09,0.002151935474951648,0.0016709947254405335,0.00024047037475555732,9.30413161525181e-06,5.625781226057156
64400.0,7.4811182521614e-09,0.0021523674474366802,0.001671347271479734,0.00024051008797847313,9.306521041844052e-06,5.626710313077264
64600.0,7.480922293413612e-09,0.0021528051181896038,0.001671677343640706,0.00024056388727444885,9.308115153284667e-06,5.627968942418126
64800.0,7.480254642312626e-09,0.0021532476577176296,0.0016719876285467344,0.00024063001458544757,9.309011982603591e-06,5.629515984481517
65000.0,7.479156485797424e-09,0.00215369316914193,0.0016722786872817369,0.00024070724093009656,9.309265621083602e-06,5.6313226873667475
65200.0,7.478269269123625e-09,0.002154079969973475,0.0016725346719838974,0.00024077264899478878,9.309586157655171e-06,5.6328529027321625
65400.0,7.477555996410266e-09,0.0021544516082053614,0.0016727875596303393,0.0002408320242875111,9.310105692484716e-06,5.6342419819791525
65600.0,7.476814028047326e-09,0.0021548178407399614,0.0016730347969774095,0.00024089152188127595,9.310557780891466e-06,5.635633922447238
65800.0,7.475977301868976e-09,0.0021551790666316834,0.0016732733865425361,0.00024095284004457362,9.310843460780607e-06,5.6370684549639645
66000.0,7.475016684315267e-09,0.002155535788024233,0.0016735022550335456,0.0002410167664953438,9.310920437373784e-06,5.638564008114563
66200.0,7.474021564361605e-09,0.0021558781404267557,0.001673718214622303,0.00024107996290222632,9.310882292306601e-06,5.640042481958817
66400.0,7.472970241796967e-09,0.002156214679344861,0.0016739268190457427,0.00024114393014955902,9.310732892012273e-06,5.641538989541061
66600.0,7.471812895221115e-09,0.002156547805705892,0.0016741274322603003,0.00024121018672279592,9.31040660930992e-06,5.643089055682048
66800.0,7.470531831100744e-09,0.0021568777039049354,0.0016743193041679476,0.00024127919986849389,9.309877196587491e-06,5.644703611569914
67000.0,7.46916251259998e-09,0.0021571999023165477,0.001674500735211533,0.0002413495835525074,9.309179376872393e-06,5.646350231069495
67200.0,7.466790984526225e-09,0.002157607444051697,0.0016746980654507838,0.00024145468930045666,9.307320311150932e-06,5.648809169906201
67400.0,7.463519449683466e-09,0.0021580310082832924,0.0016748625126264,0.00024158424782844622,9.304155891140726e-06,5.651840179173684
67600.0,7.459680005513611e-09,0.0021584552805166846,0.001674998772622466,0.0002417282539471093,9.300126130706637e-06,5.655209188431625
67800.0,7.455384043461146e-09,0.0021588795182060647,0.0016751117919802817,0.00024188386311289152,9.295397430476426e-06,5.658849649857902
68000.0,7.45067485283694e-09,0.0021593041785973187,0.0016752040320179044,0.00024205007328970715,9.290037523850903e-06,5.662738120914927
68200.0,7.445854397432525e-09,0.0021596993801124673,0.0016752674795651823,0.0002422159502736425,9.284378661254616e-06,5.666618796956652
68400.0,7.4408953066727866e-09,0.0021600872660866334,0.001675317915011402,0.00024238467553761565,9.278474404343868e-06,5.670566108235168
68600.0,7.435712759632371e-09,0.0021604708321933757,0.0016753533466782322,0.00024255874275757173,9.27220808830554e-06,5.67463839405872
68800.0,7.430219826954593e-09,0.002160858282081325,0.0016753756896945068,0.0002427412961934092,9.265482059739078e-06,5.67890921408439
69000.0,7.4243272321268365e-09,0.0021612540573574114,0.001675383793435616,0.00024293513196089773,9.258178776938076e-06,5.683443983170952
69200.0,7.419247237848379e-09,0.002161533586954183,0.0016753425998616805,0.0002430954935462512,9.251616514715415e-06,5.687195626994767
69400.0,7.414866768752763e-09,0.002161788328927914,0.0016753174255546238,0.00024323545168664508,9.24601524278292e-06,5.690469934191494
69600.0,7.410732437767927e-09,0.0021620393080169415,0.0016753016062751797,0.0002433688508708809,9.24077265514352e-06,5.69359079524146
69800.0,7.40672021820844e-09,0.002162285028072597,0.001675287702363307,0.00024349866285464507,9.235692988834735e-06,5.696627734082346
70000.0,7.4027895275045404e-09,0.0021625250660412816,0.001675273335791037,0.00024362586512512228,9.23071251660002e-06,5.69960361893257
70200.0,7.398848936643545e-09,0.002162767137913103,0.0016752598300052196,0.00024375365395394176,9.225724524181828e-06,5.702593226258641
70400.0,7.394900071600555e-09,0.0021630054841527383,0.0016752428050751571,0.00024388133953879058,9.220706924154953e-06,5.7055804182019765
70600.0,7.390969032973631e-09,0.0021632388160387882,0.001675222597206157,0.00024400810941631562,9.215694141846567e-06,5.708546187260784
70800.0,7.387062159506636e-09,0.0021634672817405286,0.0016751996492314213,0.00024413381625455364,9.210696542786721e-06,5.711487086617994
71000.0,7.383180883810604e-09,0.0021636909655717842,0.001675174104341471,0.0002442584306151566,9.205716722777025e-06,5.714402427566291
71200.0,7.3793175532657196e-09,0.002163910687459387,0.001675146209562602,0.00024438223894839245,9.20074651815123e-06,5.717298911582069
71400.0,7.375472340428687e-09,0.0021641259256179124,0.001675115573228607,0.00024450517619465273,9.19578401309992e-06,5.720175016602062
71600.0,7.371647399506763e-09,0.002164336592951499,0.0016750822420994634,0.00024462717542601776,9.190832172311161e-06,5.7230291768540456
71800.0,7.367842822191033e-09,0.002164542741987044,0.0016750462653571392,0.00024474823831495244,9.18589140132015e-06,5.725861431465173
72000.0,7.364058206876369e-09,0.0021647444148353654,0.0016750076587197518,0.0002448683780578068,9.180961306428357e-06,5.728672089162782
72200.0,7.3603496734261e-09,0.0021649359229921443,0.0016749649151948892,0.00024498550389862755,9.176103616612315e-06,5.731412236912979
72400.0,7.35671114659957e-09,0.0021651215887723944,0.0016749210780071246,0.0002451002553826349,9.171327448830621e-06,5.734096836814513
72600.0,7.353120698340561e-09,0.002165302459329417,0.001674875836392088,0.00024521331146866454,9.166603768173492e-06,5.736741773043866
72800.0,7.349571573905805e-09,0.002165478536051136,0.0016748288499323879,0.00024532484305937405,9.161922298421706e-06,5.739351043852229
73000.0,7.346060844668284e-09,0.002165649868712414,0.0016747800121124634,0.0002454349282999753,9.15727881596834e-06,5.741926477439298
73200.0,7.342553644939235e-09,0.002165819879420768,0.001674730171820514,0.00024554485380012695,9.152634509701518e-06,5.7444981739139545
73400.0,7.339051917866061e-09,0.0021659861223426416,0.0016746775391849058,0.0002456542915788679,9.147982031943109e-06,5.747058460193244
73600.0,7.335566997176837e-09,0.0021661480746341818,0.0016746222985637882,0.00024576288803519677,9.14333653726613e-06,5.7495990638158405
73800.0,7.3321014213421804e-09,0.002166305819134843,0.0016745646486035993,0.0002458705852656219,9.138702291916468e-06,5.7521186301351435
74000.0,7.328655523213848e-09,0.0021664594122100733,0.0016745046534306126,0.00024597737938973033,9.134080076694568e-06,5.754617068369263
74200.0,7.3252049023743775e-09,0.0021666113394895876,0.0016744429703313766,0.0002460841845791055,9.129443080322622e-06,5.757115765474231
74400.0,7.3217513699141444e-09,0.0021667598190379996,0.0016743783160771053,0.0002461907514804472,9.124786580386006e-06,5.759608887853636
74600.0,7.318303407281745e-09,0.0021669044596914137,0.0016743108298586445,0.0002462968149163846,9.120121928044532e-06,5.762090231708465
74800.0,7.314863049534352e-09,0.0021670453103365952,0.0016742406568441494,0.0002464023267462229,9.115452470629618e-06,5.764558670791801
75000.0,7.31143071316032e-09,0.002167182400132772,0.0016741678429663264,0.00024650727858322287,9.110778996541643e-06,5.767014008896691
75200.0,7.308006291414229e-09,0.0021673157563489734,0.0016740924054765036,0.0002466116754362349,9.106101485544514e-06,5.769456363204708
